Date,close,high,low,open,volume,year,month,day,day_of_week
1986-10-16,0.0744972974061966,0.0750293859870524,0.0739652088253407,0.0744972974061966,21859200,1986,10,16,3
1986-10-17,0.076625645160675,0.0771577291286718,0.0744972910197105,0.0744972910197105,124444800,1986,10,17,4
1986-10-20,0.0771577507257461,0.0782219280941001,0.0750294005562837,0.0766256666088147,43545600,1986,10,20,0
1986-10-21,0.080350287258625,0.080350287258625,0.0776898482583783,0.0776898482583783,112377600,1986,10,21,1
1986-10-22,0.080350287258625,0.0811484226124957,0.0798182031123724,0.080350287258625,54576000,1986,10,22,2
1986-10-23,0.080350287258625,0.0808823805393694,0.079552161039246,0.080350287258625,70444800,1986,10,23,3
1986-10-24,0.0798181816935539,0.0803502656970244,0.0776898274106933,0.0803502656970244,101376000,1986,10,24,4
1986-10-27,0.0824792683124542,0.0824792683124542,0.0803502921825537,0.0803502921825537,125654400,1986,10,27,0
1986-10-28,0.0843415632843971,0.0856717918619172,0.0824792597179534,0.0824792597179534,142646400,1986,10,28,1
1986-10-29,0.0819471552968025,0.0846076029549321,0.080882366049609,0.0843415517949761,53222400,1986,10,29,2
1986-10-30,0.0835434570908546,0.0846076347268289,0.081415101818906,0.0819471860696464,44380800,1986,10,30,3
1986-10-31,0.0824792683124542,0.0846076232968755,0.0819471749991027,0.0835434458046649,63734400,1986,10,31,4
1986-11-03,0.0840755403041839,0.0846076336828523,0.0830113626813406,0.0830113626813406,42192000,1986,11,3,0
1986-11-04,0.0872680470347404,0.0872680470347404,0.0840755151224173,0.0840755151224173,54403200,1986,11,4,1
1986-11-05,0.0925895795226097,0.0931216729370497,0.0867359856251367,0.0872680790395768,45100800,1986,11,5,2
1986-11-06,0.0947179347276687,0.0968462901123125,0.092057495064111,0.0925895793430249,72576000,1986,11,6,3
1986-11-07,0.094185821712017,0.0952499990796511,0.0925895510933202,0.0947179058285884,44323200,1986,11,7,4
1986-11-10,0.0904606208205223,0.0941858596874049,0.0899285273549215,0.0941858596874049,28684800,1986,11,10,0
1986-11-11,0.0909932553768158,0.0920574323440991,0.0909932553768158,0.0909932553768158,11894400,1986,11,11,1
1986-11-12,0.0909932553768158,0.0931216093113824,0.0899284572643597,0.0909932553768158,34156800,1986,11,12,2
1986-11-13,0.0896624252200126,0.0915253494130463,0.0893963832323978,0.0909932654378168,30211200,1986,11,13,3
